image,blur,laplacian_var,occlusion_low_contrast,contrast,lighting
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000009.jpg,Yes,75.75,No,50.98,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000010.jpg,No,1334.06,No,55.58,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000017.jpg,No,583.08,No,42.78,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000020.jpg,No,975.92,No,63.85,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000028.jpg,No,1407.23,No,58.73,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000034.jpg,No,567.55,No,58.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000037.jpg,No,1951.06,No,49.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000055.jpg,No,815.73,No,40.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000061.jpg,No,156.44,No,65.04,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000065.jpg,No,5914.37,No,51.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000078.jpg,No,1187.57,No,41.81,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000183.jpg,Yes,94.77,No,73.64,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000189.jpg,No,329.74,Yes,27.16,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000199.jpg,No,583.08,No,42.78,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000228.jpg,No,1380.33,No,72.39,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000248.jpg,No,596.15,No,106.78,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000255.jpg,No,1966.80,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000290.jpg,No,598.52,No,55.81,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000294.jpg,No,784.93,No,79.68,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000295.jpg,No,792.65,No,79.97,Good
