timestamp,track_id,plate_number,confidence
2026-05-16 00:11:22,17,NAI3MRU,0.4
2026-05-16 00:11:22,18,HWSISU,0.46
2026-05-16 00:11:24,21,GXIS0GJ,0.79
2026-05-16 00:12:23,44,DS77,0.37
2026-05-16 00:12:31,25,AP053O,0.4
2026-05-16 00:13:00,58,LMVCV,0.46
2026-05-16 00:14:06,84,CA02FKD,0.33
2026-05-16 00:14:31,89,IEY6IMBG,0.77
2026-05-16 00:14:48,96,TJAZHY,0.5
2026-05-16 00:15:36,123,HNIC,0.31
2026-05-16 00:15:58,130,QPMMF,0.32
2026-05-16 00:16:04,134,NSKGJ,0.96
2026-05-16 00:16:15,139,BC6SUSJ,0.67
2026-05-16 00:16:43,144,654DNV,0.4
2026-05-16 00:17:04,167,4W4J,0.42
2026-05-16 00:17:42,174,48MJ,0.33
2026-05-16 00:18:00,191,EFIQDZT,0.68
2026-05-16 00:19:12,199,5FPC,0.92
2026-05-16 00:19:30,217,AFESJKY,0.44
2026-05-16 00:20:26,274,LMSZZC,0.83
2026-05-16 00:20:28,273,JKH06KSU,0.33
2026-05-16 00:21:20,325,04O7CLI,0.64
2026-05-16 00:21:36,340,IVJVS,0.55
2026-05-16 00:21:54,346,EWO9YTS,0.35
2026-05-16 00:22:49,359,G0TM,0.58
2026-05-16 00:25:10,546,BP6JLYH,0.65
2026-05-16 00:25:53,559,LLUP,0.76
2026-05-16 00:26:08,593,VC65ZFY,0.58
2026-05-16 00:27:25,626,L64OGX,0.78
2026-05-16 00:27:43,640,LPI4,0.55
2026-05-16 00:27:49,645,LLGIPZS,0.67
2026-05-16 00:27:57,656,GWJO,0.45
2026-05-16 00:28:08,668,05KJ,0.38
2026-05-16 00:30:13,787,CF6LM,0.4
2026-05-16 00:30:19,763,HTJHF,0.37
2026-05-16 00:31:22,864,OUO6XRO,0.55
2026-05-16 00:31:52,824,SCCTP,0.46
2026-05-16 00:32:57,928,GI8S6,0.45
