epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.957,1.87887,4.68243,1.6256,0.00341,0.34483,0.01616,0.00462,1.861,3.79186,1.75756,0.00011,0.00011,0.08911
2,240.063,1.80714,2.93916,1.26445,0.00352,0.34483,0.15846,0.04914,2.0428,3.62159,1.66114,0.000225446,0.000225446,0.0772254
3,315.405,1.68054,2.10191,1.27064,0.15966,0.65517,0.48744,0.23423,1.71573,3.57275,1.5252,0.00033614,0.00033614,0.0653361
4,394.711,1.73746,1.75853,1.30089,0.11864,0.72414,0.61685,0.31106,1.63487,3.06158,1.52819,0.000442082,0.000442082,0.0534421
5,449.409,1.63903,1.47899,1.42646,0.06176,0.72414,0.6447,0.34293,1.73215,2.76313,1.64059,0.000543272,0.000543272,0.0415433
6,503.249,1.70136,1.58075,1.35108,1,0.28517,0.68743,0.31502,1.78031,2.59404,1.59594,0.00063971,0.00063971,0.0296397
7,559.738,1.69666,1.51528,1.33016,0.93955,0.65517,0.78637,0.39782,1.74903,1.67546,1.53987,0.000731396,0.000731396,0.0177314
8,657.377,1.55738,1.33868,1.24189,0.84611,0.68966,0.79126,0.37591,1.7621,1.41004,1.51326,0.00081833,0.00081833,0.00581833
9,753.26,1.67169,1.34539,1.27761,0.94622,0.7931,0.87771,0.43962,1.71141,1.27199,1.44891,0.0008416,0.0008416,0.0008416
10,824.316,1.59407,1.44171,1.29729,0.92104,0.80473,0.87389,0.4361,1.73161,1.216,1.4724,0.0008218,0.0008218,0.0008218
11,892.829,1.52902,1.10094,1.22541,0.70634,0.68966,0.72987,0.3804,1.76564,1.14147,1.46525,0.000802,0.000802,0.000802
12,961.753,1.50592,1.23506,1.22396,0.66657,0.65517,0.70987,0.36611,1.79336,1.22703,1.45467,0.0007822,0.0007822,0.0007822
13,1026.49,1.59589,1.20798,1.18801,1,0.68718,0.86731,0.38735,1.81547,1.10612,1.45506,0.0007624,0.0007624,0.0007624
14,1118.3,1.50556,1.09311,1.19855,0.82254,0.86207,0.87447,0.39257,1.80395,1.03863,1.47889,0.0007426,0.0007426,0.0007426
15,1224.01,1.40578,1.06532,1.21288,0.81496,0.7931,0.76357,0.35648,1.89167,1.06192,1.53369,0.0007228,0.0007228,0.0007228
16,1288.13,1.36051,1.17833,1.0851,0.81662,0.72414,0.75643,0.36432,1.87108,1.07112,1.54099,0.000703,0.000703,0.000703
17,1386.67,1.60582,1.15689,1.21008,0.83969,0.75862,0.80935,0.39771,1.7781,0.99758,1.48523,0.0006832,0.0006832,0.0006832
18,1488.07,1.46974,1.04507,1.142,0.9578,0.78297,0.86474,0.40585,1.72974,0.96889,1.47059,0.0006634,0.0006634,0.0006634
19,1595.79,1.49847,0.98861,1.16302,0.91707,0.7931,0.87453,0.41786,1.74113,0.89016,1.48615,0.0006436,0.0006436,0.0006436
20,1653.59,1.42677,0.95425,1.19148,0.92741,0.88136,0.909,0.44324,1.77554,0.87852,1.49762,0.0006238,0.0006238,0.0006238
21,1698.25,1.46027,0.97889,1.13282,0.92248,0.82085,0.84554,0.41031,1.84652,0.87811,1.52372,0.000604,0.000604,0.000604
22,1740.59,1.31759,0.89717,1.11863,0.88535,0.79902,0.84444,0.39927,1.87442,0.87122,1.55293,0.0005842,0.0005842,0.0005842
23,1782.76,1.3467,0.93032,1.13498,0.95253,0.75862,0.85319,0.40474,1.8616,0.88504,1.55145,0.0005644,0.0005644,0.0005644
24,1825.16,1.42722,1.04196,1.1162,0.95823,0.79119,0.85372,0.41797,1.82368,0.86989,1.51986,0.0005446,0.0005446,0.0005446
25,1868.17,1.35673,0.90615,1.10295,0.90943,0.86207,0.90811,0.45562,1.72276,0.81796,1.47353,0.0005248,0.0005248,0.0005248
26,1910.53,1.21344,0.86912,1.03199,0.94482,0.82759,0.90588,0.4572,1.72096,0.8256,1.47392,0.000505,0.000505,0.000505
27,1952.88,1.4009,0.88684,1.16773,0.94198,0.75862,0.85908,0.40679,1.74032,0.85031,1.50346,0.0004852,0.0004852,0.0004852
28,1995.44,1.34289,0.88336,1.10581,0.9192,0.78486,0.87924,0.41855,1.76556,0.8137,1.5239,0.0004654,0.0004654,0.0004654
29,2037.73,1.25955,0.84613,1.07953,0.96009,0.82966,0.89342,0.40965,1.7924,0.81146,1.55179,0.0004456,0.0004456,0.0004456
30,2080.12,1.29116,0.83653,1.0709,0.92121,0.89655,0.89189,0.40983,1.80856,0.83271,1.55625,0.0004258,0.0004258,0.0004258
31,2122.76,1.23422,0.80726,1.07313,0.96151,0.86136,0.89223,0.39968,1.79053,0.81738,1.55099,0.000406,0.000406,0.000406
32,2166.39,1.32648,0.85825,1.10836,0.96122,0.86207,0.89393,0.39079,1.77724,0.79366,1.5409,0.0003862,0.0003862,0.0003862
33,2208.89,1.27352,0.78316,1.09002,0.95715,0.86207,0.90223,0.41079,1.76155,0.778,1.52639,0.0003664,0.0003664,0.0003664
34,2251.06,1.26639,0.84215,1.03331,0.96257,0.88714,0.90876,0.43379,1.76171,0.75912,1.52618,0.0003466,0.0003466,0.0003466
35,2292.92,1.25603,0.76515,1.0495,0.96269,0.88997,0.91641,0.43535,1.77214,0.76256,1.51464,0.0003268,0.0003268,0.0003268
36,2334.97,1.17941,0.86259,1.11456,0.99996,0.82759,0.91434,0.42979,1.79462,0.75008,1.52608,0.000307,0.000307,0.000307
37,2376.97,1.28594,0.7801,1.08015,1,0.8586,0.91572,0.41526,1.82236,0.76655,1.55337,0.0002872,0.0002872,0.0002872
38,2418.91,1.26781,0.83265,1.06077,0.9968,0.82759,0.90061,0.41242,1.83321,0.77823,1.54921,0.0002674,0.0002674,0.0002674
39,2461.01,1.25954,0.79245,1.06623,1,0.8216,0.9009,0.4156,1.82644,0.78838,1.53966,0.0002476,0.0002476,0.0002476
40,2503.21,1.18665,0.7263,1.02971,1,0.81936,0.90161,0.41495,1.81651,0.78749,1.53461,0.0002278,0.0002278,0.0002278
41,2565.32,1.1865,0.77382,1.03935,0.95552,0.86207,0.90693,0.42029,1.81248,0.79866,1.52469,0.000208,0.000208,0.000208
42,2607.19,1.18729,0.75308,1.04718,0.95498,0.86207,0.90545,0.41281,1.80669,0.81069,1.52464,0.0001882,0.0001882,0.0001882
43,2649.24,1.2489,0.73564,1.02897,0.9524,0.86207,0.90067,0.40679,1.78715,0.82161,1.52433,0.0001684,0.0001684,0.0001684
44,2691.38,1.13446,0.70013,1.03379,0.9531,0.86207,0.90096,0.40746,1.78809,0.82621,1.52322,0.0001486,0.0001486,0.0001486
45,2733.24,1.16393,0.73735,1.04373,0.9511,0.86207,0.89964,0.41222,1.80636,0.81275,1.53922,0.0001288,0.0001288,0.0001288
46,2775.12,1.13232,0.74889,1.02192,0.95478,0.86207,0.89971,0.40529,1.81272,0.80442,1.54928,0.000109,0.000109,0.000109
