epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2085,1.32435,1.52665,1.30977,0.54428,0.49486,0.52358,0.31429,1.34667,2.45868,1.41629,0.000163462,0.000163462,0.0674712
2,49.9577,1.2037,0.94806,1.2456,0.68441,0.68609,0.67237,0.41088,1.3958,2.07782,1.42661,0.000330092,0.000330092,0.0343045
3,72.0928,1.18679,0.90994,1.23226,0.65819,0.62316,0.6165,0.39573,1.3667,2.12973,1.44279,0.000496579,0.000496579,0.0011376
4,94.1886,1.1733,0.86556,1.23683,0.68812,0.71189,0.70902,0.45972,1.25922,1.25278,1.36343,0.000499512,0.000499512,0.000499512
5,116.666,1.16485,0.84413,1.23611,0.80827,0.77022,0.81576,0.49387,1.36953,1.10901,1.41251,0.000499132,0.000499132,0.000499132
6,139.109,1.1388,0.81961,1.21925,0.76279,0.77959,0.7832,0.52237,1.23947,0.98318,1.33395,0.000498644,0.000498644,0.000498644
7,161.687,1.12077,0.79684,1.20151,0.73699,0.75259,0.77116,0.50002,1.23905,1.20954,1.32831,0.000498048,0.000498048,0.000498048
8,184.064,1.0964,0.75666,1.19174,0.87266,0.78158,0.84465,0.56366,1.21219,0.84886,1.30222,0.000497345,0.000497345,0.000497345
9,206.601,1.08112,0.73775,1.17895,0.83588,0.78501,0.84594,0.54678,1.24195,0.84379,1.32622,0.000496534,0.000496534,0.000496534
10,229.038,1.06218,0.70741,1.17225,0.82476,0.80074,0.84841,0.57262,1.1583,0.81723,1.28879,0.000495616,0.000495616,0.000495616
11,251.569,1.05879,0.71597,1.16953,0.81979,0.83082,0.87414,0.58093,1.23872,0.8045,1.31577,0.000494592,0.000494592,0.000494592
12,274.177,1.04233,0.69767,1.1534,0.84176,0.7962,0.86578,0.60171,1.10039,0.75237,1.24253,0.000493461,0.000493461,0.000493461
13,296.435,1.0427,0.68263,1.15073,0.84996,0.82802,0.87661,0.55798,1.31776,0.77569,1.35251,0.000492224,0.000492224,0.000492224
14,318.873,1.05368,0.70047,1.16026,0.85382,0.79537,0.873,0.59905,1.16065,0.74099,1.25664,0.000490883,0.000490883,0.000490883
15,341.208,1.04232,0.67722,1.15855,0.91469,0.83496,0.90694,0.61954,1.15159,0.69346,1.2561,0.000489437,0.000489437,0.000489437
16,363.655,1.02866,0.66026,1.15428,0.88796,0.8235,0.89008,0.61011,1.10591,0.68739,1.22673,0.000487886,0.000487886,0.000487886
17,385.955,0.99498,0.63802,1.1313,0.86888,0.82565,0.88383,0.60612,1.11765,0.64752,1.22682,0.000486233,0.000486233,0.000486233
18,408.328,1.01521,0.66626,1.14422,0.89319,0.85542,0.9098,0.62478,1.11898,0.63651,1.24051,0.000484477,0.000484477,0.000484477
19,430.795,1.00119,0.65296,1.1393,0.85228,0.84328,0.87615,0.58225,1.13748,0.72815,1.23155,0.00048262,0.00048262,0.00048262
20,452.869,0.98826,0.63276,1.13423,0.88735,0.83105,0.89633,0.63597,1.0546,0.6701,1.20358,0.000480661,0.000480661,0.000480661
21,475.33,0.98864,0.64422,1.12898,0.83609,0.84129,0.88652,0.61064,1.10617,0.68664,1.21367,0.000478603,0.000478603,0.000478603
22,497.648,0.9842,0.62695,1.1197,0.8854,0.86034,0.91976,0.64464,1.13463,0.63261,1.22413,0.000476445,0.000476445,0.000476445
23,519.946,0.97281,0.60508,1.1171,0.86894,0.87758,0.91538,0.64981,1.07487,0.61483,1.1893,0.000474189,0.000474189,0.000474189
24,542.299,0.96953,0.60279,1.11347,0.87968,0.89031,0.9317,0.65693,1.05387,0.59428,1.18263,0.000471835,0.000471835,0.000471835
25,564.647,0.97922,0.60291,1.12347,0.89073,0.88508,0.92172,0.65337,1.04119,0.6316,1.19064,0.000469386,0.000469386,0.000469386
26,587.244,0.95705,0.59333,1.10371,0.91351,0.85031,0.9244,0.63053,1.1373,0.64162,1.23043,0.000466841,0.000466841,0.000466841
27,609.367,0.94949,0.58792,1.1021,0.90634,0.90076,0.93617,0.65943,1.07744,0.5814,1.18983,0.000464203,0.000464203,0.000464203
28,631.843,0.94715,0.58127,1.10261,0.91757,0.87701,0.92471,0.66703,1.01318,0.57898,1.1726,0.000461471,0.000461471,0.000461471
